商品编码,国条码,商品名称,来源
174398,6940187220065,蒙牛金装中老年多维高钙奶粉900g,物美销售2025-2026
174399,6923644266288,蒙牛中老年多维高钙奶粉400g,物美销售2025-2026
174400,6940187260610,欧世蒙牛全脂甜奶粉400g,物美销售2025-2026
192525,6940187265059,蒙牛悠瑞骨宜中老年奶粉800g,物美销售2025-2026
192527,6940187200036,蒙牛金装中老年多维高钙奶粉400g,物美销售2025-2026
192528,6940187220133,蒙牛金装学生多维高钙高锌奶粉900g,物美销售2025-2026
260110,6940187266568,蒙牛悠瑞心沛中老年奶粉800G,物美销售2025-2026
260111,6940187220027,蒙牛金装学生多维高钙高锌奶粉400g,物美销售2025-2026
298344,6907858302048,南国山地咖啡306g,物美销售2025-2026
301563,6940187265493,蒙牛中老年多维高钙奶粉1600g,物美销售2025-2026
321471,6940187220010,蒙牛金装女士多维高钙高铁奶粉400g,物美销售2025-2026
321472,6940187260627,蒙牛高钙奶粉400g,物美销售2025-2026
321491,6902402500444,雅士利牛奶高钙营养燕麦片600G,物美销售2025-2026
343286,8994963002718,营多捞面香辣牛肉味方便面5连包425G,物美销售2025-2026
360497,6902402500321,雅士利即食燕麦片900G,物美销售2025-2026
403852,6922577726197,君乐宝乐钙益生菌奶粉800g,物美销售2025-2026
513223,6922577725954,君乐宝乐钙钙铁锌奶粉800G,物美销售2025-2026
546917,6904007559100,秦俑营养甜奶粉350G,物美销售2025-2026
612271,9348219000093,红色拖拉机澳大利亚速食纯燕麦片500G,物美销售2025-2026
612272,9348219000109,红色拖拉机速食燕麦片500G,物美销售2025-2026
710764,6902402186808,雅士利正味营养麦片600G,物美销售2025-2026
809592,6970666549882,阿宝乐黑芝麻黑豆黑米黑养粉600g,物美销售2025-2026
809593,6970666549967,阿宝乐阿胶红枣枸杞粉600g,物美销售2025-2026
809594,6970666540896,阿宝乐益生元珍品八珍粉600g,物美销售2025-2026
809595,6970666541466,阿宝乐益生元黄薏米五指毛桃谷物粉600g,物美销售2025-2026
809596,6970666541626,阿宝乐黑芝麻黑豆黑养粉245g,物美销售2025-2026
809597,6970666541633,阿宝乐红豆红枣红养粉245g,物美销售2025-2026
809598,6970666541619,阿宝乐铁棍山药八珍粉245g,物美销售2025-2026
809599,6970666541688,阿宝乐杏仁百合七白饮245g,物美销售2025-2026
809600,6970666541602,阿宝乐粉糯贝贝南瓜粉245g,物美销售2025-2026
816692,6975121640180,畅鲜选牛筋面300g,物美销售2025-2026
816693,6975121640197,畅鲜选五谷杂粮面300g,物美销售2025-2026
816694,6975121640203,畅鲜选荞麦冷面300g,物美销售2025-2026
816695,6975121640098,畅鲜选玉米面条300g,物美销售2025-2026
816696,6975121640210,畅鲜选红薯粉条500g,物美销售2025-2026
816697,6975121640227,畅鲜选粉条500g,物美销售2025-2026
816698,6940187293021,蒙牛未来星健衡儿童成长配方奶粉400g,物美销售2025-2026
816699,6940187269095,蒙牛中老年益生菌低脂高蛋白奶粉700g,物美销售2025-2026
816700,6972499460310,大漠银根苏益生菌配方驼奶粉300g,物美销售2025-2026
816701,6970666549936,阿宝乐红豆薏米山药粉600g,物美销售2025-2026
816702,6970666540858,阿宝乐杏仁七白饮600g,物美销售2025-2026
816703,6970666540926,阿宝乐黑红八珍营养粉礼盒1.5kg,物美销售2025-2026
816704,6970666541299,阿宝乐铁棍山药八珍粉礼盒980g,物美销售2025-2026
816705,6907858304356,南国冷萃纯咖啡60g,物美销售2025-2026
816706,6907858303038,南国炭烧咖啡400g,物美销售2025-2026
816707,6907858400867,南国特浓榴莲软质糖150g,物美销售2025-2026
816708,6907858120376,南国传统椰子糖200g,物美销售2025-2026
816709,6907858401222,南国特浓椰子糖128g,物美销售2025-2026
816710,6907858303298,南国生椰拿铁400g,物美销售2025-2026
816711,6907858303694,南国生椰拿铁128g,物美销售2025-2026
816712,6907858303700,南国炭烧咖啡128g,物美销售2025-2026
816713,6907858304349,南国椰奶咖啡360g,物美销售2025-2026
816714,6907858401178,南国开心椰球100g,物美销售2025-2026
816715,6907858401192,南国榴莲味开心椰球100g,物美销售2025-2026
816716,6971062129975,永璞醇口感浓缩咖啡液175g,物美销售2025-2026
816717,6971062120118,永璞浓缩咖啡液175g,物美销售2025-2026
816718,6971062120873,永璞黑巧风味浓缩咖啡液175g,物美销售2025-2026
816719,6971062125052,永璞挂耳咖啡50g,物美销售2025-2026
816720,6977480870031,永璞咖皮超浓醇即溶咖啡粉60g,物美销售2025-2026
816721,6971062123263,永璞咖啡轻椰椰脆麦片280g,物美销售2025-2026
816722,6971062123270,永璞咖啡可可球脆麦片280g,物美销售2025-2026
823398,6975121640333,蜀珑珠初榨炒菜核桃油1L,物美销售2025-2026
823399,6975121640340,蜀珑珠初榨核桃油250ml,物美销售2025-2026
829504,6907858300198,南国炭烧咖啡340g,物美销售2025-2026
829505,6907858301744,南国白咖啡340g,物美销售2025-2026
829507,6940187293205,蒙牛中老年多维高钙奶粉700g,物美销售2025-2026
829508,6940187272408,蒙牛纯牛奶粉700g,物美销售2025-2026
829539,6907858300334,南国纯椰子粉320g,物美销售2025-2026
847935,6922577729365,君乐宝乐钙钙铁锌奶粉400g,物美销售2025-2026
847936,6922577738817,君乐宝中老年高钙多维奶粉700g,物美销售2025-2026
847938,6922577741251,君乐宝乐钙牛乳钙配方奶粉700g,物美销售2025-2026
847939,6922577756224,君乐宝浓纯纯牛奶粉300g,物美销售2025-2026
847942,6922577700708,君乐宝全家高钙营养奶粉700g,物美销售2025-2026
847944,6904007561769,秦俑营养甜奶粉275g,物美销售2025-2026
847947,6904007562070,秦俑袋装中老年粉275g,物美销售2025-2026
847977,9348219000956,红色拖拉机奇亚籽燕麦片500g,物美销售2025-2026
847993,6957420003835,谷栗村板栗红枣玉米糊230g,物美销售2025-2026
847996,6957420001282,谷栗村糯玉米糊320g,物美销售2025-2026
847997,6957420001299,谷栗村甜玉米糊320g,物美销售2025-2026
848004,6904007560052,秦俑益舒高硒高钙中老年羊奶粉700g,物美销售2025-2026
865696,6904007561738,秦俑益舒中老年无蔗糖羊奶粉300g,物美销售2025-2026
865697,6922577745327,君乐宝全家营养奶粉700g,物美销售2025-2026
865698,6940187294165,蒙牛透明质酸钠益生菌低脂奶粉700g,物美销售2025-2026
865699,8716677009728,佳贝艾特营嘉成人有机全脂进口羊奶粉400g,物美销售2025-2026
865700,6934120703036,佳贝艾特营嘉葆护中老年营养羊奶粉700g,物美销售2025-2026
865701,6957420001602,谷栗村原味豆浆粉300g,物美销售2025-2026
865702,9348219003193,红色拖拉机格兰诺拉高蛋白香脆花生燕麦片450g,物美销售2025-2026
865703,9348219003209,红色拖拉机格兰诺拉苹果焦糖燕麦片450g,物美销售2025-2026
865704,9348219003186,红色拖拉机格兰诺拉巧克力杏仁燕麦片450g,物美销售2025-2026
865705,6974399600377,Seesaw长颈鹿咖啡豆200g,物美销售2025-2026
865706,6974399600360,Seesaw斑马咖啡豆200g,物美销售2025-2026
865707,6974399600070,Seesaw长颈鹿挂耳咖啡100g,物美销售2025-2026
865708,6974399600094,Seesaw斑马挂耳咖啡100g,物美销售2025-2026
865709,6907858120420,南国速溶椰子粉170g,物美销售2025-2026
871602,6922577738442,君乐宝智美学堂高钙高锌学生奶粉400g,物美销售2025-2026
871603,6940187270848,蒙牛悠瑞骨力中老年高钙营养奶粉800g,物美销售2025-2026
871604,6940187294073,蒙牛小蛮腰白芸豆提取物益生菌脱脂奶粉400g,物美销售2025-2026
895679,6907925777908,飞鹤牧场经典1962中老年高钙多维奶粉听装700g,物美销售2025-2026
895680,6907925777915,飞鹤牧场经典1962加锌铁钙奶粉听装700g,物美销售2025-2026
895681,6907925778561,飞鹤牧场鲜萃乳蛋白营养粉听装750g,物美销售2025-2026
895682,6907925778585,飞鹤牧场人参乳蛋白营养粉听装750g,物美销售2025-2026
895683,6907925778608,飞鹤牧场燕窝酸乳蛋白营养粉听装750g,物美销售2025-2026
895684,6907925777922,飞鹤牧场经典1962中老年高钙多维奶粉袋装350g,物美销售2025-2026
895685,6907925777946,飞鹤牧场经典1962加锌铁钙奶粉袋装350g,物美销售2025-2026
